type: while                   	 character: while               
type: (                   	 character: (                   
type: id                   	 character: a3                  
type: +                   	 character: +                   
type: int10                   	 character: 15                  
type: )                   	 character: )                   
type: >                   	 character: >                   
type: int16                   	 character: 0xa                 
type: do                   	 character: do                  
type: if                   	 character: if                  
type: id                   	 character: x2                  
type: =                   	 character: =                   
type: int8                   	 character: 07                  
type: then                   	 character: then                
type: while                   	 character: while               
type: id                   	 character: y                   
type: <                   	 character: <                   
type: id                   	 character: z                   
type: do                   	 character: do                  
type: id                   	 character: y                   
type: =                   	 character: =                   
type: id                   	 character: x                   
type: *                   	 character: *                   
type: id                   	 character: y                   
type: /                   	 character: /                   
type: id                   	 character: z                   
type: ;                   	 character: ;                   
type: id                   	 character: c                   
type: =                   	 character: =                   
type: id                   	 character: b                   
type: *                   	 character: *                   
type: id                   	 character: c                   
type: +                   	 character: +                   
type: id                   	 character: d                   
type: ;                   	 character: ;                   
type: else                   	 character: else                
type: id                   	 character: y                   
type: =                   	 character: =                   
type: id                   	 character: z                   
type: /                   	 character: /                   
type: id                   	 character: x                   
type: /                   	 character: /                   
type: id                   	 character: y                   
type: ;                   	 character: ;                   
type: id                   	 character: c                   
type: =                   	 character: =                   
type: id                   	 character: b                   
type: *                   	 character: *                   
type: id                   	 character: c                   
type: +                   	 character: +                   
type: id                   	 character: d                   
type: ;                   	 character: ;                   
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type: 4                   	 character:                     
type: qt                   	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type: b                   	 character:                     
type:                    	 character:                     
type: ÿÿÿÿÿÿ                   	 character:                     
type:                    	 character:                     
type:                    	 character: Òh€Fqt              
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                    
type:                    	 character:                     
type:                    	 character:                    
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
